,origin,destination
0,61,175
1,133,17
2,306,134
3,33,227
4,43,227
5,290,105
6,300,63
7,88,176
8,89,172
9,233,85
10,269,116
11,230,102
12,280,141
13,59,145
14,257,102
15,305,4
16,150,173
17,125,166
18,25,261
19,230,173
20,279,129
21,150,172
22,283,83
23,90,16
24,141,181
25,235,117
26,260,17
27,278,16
28,35,248
29,309,126
30,309,137
31,279,20
32,229,69
33,24,287
34,45,274
35,129,174
36,242,12
37,108,15
38,125,181
39,235,135
40,233,280
41,240,281
42,261,69
43,61,20
44,66,1
45,92,8
46,265,75
47,60,302
48,112,174
49,42,68
50,240,77
51,272,108
52,307,126
53,315,84
54,43,286
55,93,18
56,112,13
57,263,117
58,113,17
59,121,194
60,61,72
61,106,19
62,132,8
63,133,10
64,281,138
65,47,86
66,60,300
67,262,95
68,255,122
69,309,73
70,231,200
71,108,180
72,269,9
73,282,118
74,45,310
75,25,188
76,240,110
77,124,197
78,294,147
79,50,96
80,270,108
81,42,304
82,77,16
83,33,121
84,279,90
85,50,74
86,293,103
87,100,6
88,244,106
89,273,97
90,59,68
91,258,154
92,97,157
93,50,140
94,268,1
95,269,70
96,25,206
97,259,11
98,115,190
99,232,284
100,237,294
101,81,172
102,152,10
103,258,76
104,45,108
105,49,86
106,67,195
107,124,189
108,235,139
109,84,183
110,321,96
111,120,172
112,259,72
113,40,299
114,231,79
115,284,83
116,28,92
117,256,102
118,43,204
119,124,2
120,233,118
121,321,123
122,308,73
123,43,199
124,120,157
125,300,130
126,24,196
127,242,149
128,79,172
129,98,8
130,149,190
131,274,143
132,61,191
133,316,80
134,28,313
135,60,301
136,270,70
137,299,63
138,149,164
139,229,256
140,40,88
141,125,16
142,321,71
143,30,294
144,50,258
145,303,88
146,141,158
147,80,193
148,264,18
149,97,183
150,30,203
151,71,173
152,238,67
153,271,127
154,25,11
155,105,177
156,259,64
157,303,68
158,64,6
159,271,70
160,284,109
161,310,137
162,315,15
163,26,297
164,292,104
165,229,204
166,260,6
167,288,119
168,38,155
169,23,67
170,82,194
171,311,99
172,80,183
173,250,152
174,289,155
175,312,134
176,134,187
177,317,80
178,80,186
179,322,22
180,235,5
181,288,151
182,50,205
183,144,7
184,285,109
185,286,65
186,239,5
187,275,111
188,144,164
189,302,138
190,320,156
191,28,311
192,237,165
193,252,148
194,52,147
195,288,82
196,99,9
197,252,131
198,119,196
199,28,246
200,259,134
201,254,153
202,148,182
203,319,156
204,283,65
205,319,93
206,28,168
207,304,4
208,318,127
209,318,93
210,58,139
211,116,185
212,136,7
213,35,160
214,264,14
215,60,224
216,66,14
217,44,91
218,29,266
219,80,159
220,236,144
221,234,182
222,54,146
223,253,100
224,145,171
225,147,192
226,234,247
227,49,156
228,62,114
229,107,163
230,60,215
231,237,169
232,36,289
233,238,291
234,314,8
235,323,21
236,46,146
237,245,87
238,31,268
239,62,220
240,75,161
241,35,249
242,44,162
243,53,161
244,83,178
245,245,106
246,249,10
247,251,88
248,151,162
249,314,106
250,155,196
251,62,101
252,27,254
253,29,216
254,87,163
255,48,107
256,53,226
257,124,185
258,53,167
259,109,3
260,47,266
261,47,167
262,296,95
263,57,228
264,56,104
265,94,178
266,51,136
267,95,2
268,251,148
269,39,242
270,57,124
271,26,296
272,55,241
273,54,122
274,243,107
275,243,149
276,39,241
277,36,292
278,62,209
279,30,298
280,26,169
281,42,225
282,37,167
283,30,295
284,235,202
285,53,217
286,236,208
287,41,142
288,28,201
289,46,177
290,37,267
291,291,3
292,292,103
293,42,78
294,42,128
295,37,254
296,54,142
297,23,198
298,59,214
299,153,179
300,42,222
301,262,5
302,23,184
303,42,213
304,34,177
305,153,170
306,51,218
307,51,210
308,290,103
309,52,276
310,62,94
311,32,142
312,277,111
313,111,179
314,322,21
315,235,212
316,52,207
317,62,22
318,27,219
319,32,223
320,62,221
321,62,211
